timestamp_seconds,sensor_time_seconds,measurement,unit,value,raw
12.463,9052.069,distance_cm,cm,59.7,"9052.069,""cm"",59.7"
13.253,9052.812,velocity_cmps,cmps,15.2,"9052.812,""cmps"",15.2"
13.265,9052.871,distance_cm,cm,111.3,"9052.871,""cm"",111.3"
13.345,9052.904,velocity_cmps,cmps,12.1,"9052.904,""cmps"",12.1"
13.356,9052.963,distance_cm,cm,111.6,"9052.963,""cm"",111.6"
13.436,9052.996,velocity_cmps,cmps,6.1,"9052.996,""cmps"",6.1"
13.448,9053.055,distance_cm,cm,111.3,"9053.055,""cm"",111.3"
15.021,9054.576,velocity_cmps,cmps,-9.1,"9054.576,""cmps"",-9.1"
15.031,9054.635,distance_cm,cm,111.4,"9054.635,""cm"",111.4"
15.112,9054.668,velocity_cmps,cmps,-15.2,"9054.668,""cmps"",-15.2"
15.123,9054.727,distance_cm,cm,59.7,"9054.727,""cm"",59.7"
15.204,9054.760,velocity_cmps,cmps,-12.1,"9054.760,""cmps"",-12.1"
15.215,9054.819,distance_cm,cm,59.7,"9054.819,""cm"",59.7"
15.296,9054.852,velocity_cmps,cmps,6.1,"9054.852,""cmps"",6.1"
15.306,9054.911,distance_cm,cm,111.2,"9054.911,""cm"",111.2"
15.387,9054.943,velocity_cmps,cmps,-24.3,"9054.943,""cmps"",-24.3"
15.398,9055.003,distance_cm,cm,111.4,"9055.003,""cm"",111.4"
15.479,9055.036,velocity_cmps,cmps,-30.3,"9055.036,""cmps"",-30.3"
15.489,9055.095,distance_cm,cm,68.1,"9055.095,""cm"",68.1"
15.571,9055.128,velocity_cmps,cmps,-24.3,"9055.128,""cmps"",-24.3"
15.582,9055.187,distance_cm,cm,111.4,"9055.187,""cm"",111.4"
15.733,9055.291,velocity_cmps,cmps,21.2,"9055.291,""cmps"",21.2"
15.744,9055.350,distance_cm,cm,451.4,"9055.350,""cm"",451.4"
15.826,9055.383,velocity_cmps,cmps,48.5,"9055.383,""cmps"",48.5"
15.836,9055.442,distance_cm,cm,111.4,"9055.442,""cm"",111.4"
15.918,9055.475,velocity_cmps,cmps,42.5,"9055.475,""cmps"",42.5"
15.928,9055.535,distance_cm,cm,111.5,"9055.535,""cm"",111.5"
16.010,9055.567,velocity_cmps,cmps,21.2,"9055.567,""cmps"",21.2"
16.021,9055.626,distance_cm,cm,111.3,"9055.626,""cm"",111.3"
16.101,9055.659,velocity_cmps,cmps,30.3,"9055.659,""cmps"",30.3"
16.113,9055.718,distance_cm,cm,111.6,"9055.718,""cm"",111.6"
16.193,9055.751,velocity_cmps,cmps,6.1,"9055.751,""cmps"",6.1"
16.204,9055.810,distance_cm,cm,112.0,"9055.810,""cm"",112.0"
16.286,9055.842,velocity_cmps,cmps,-18.2,"9055.842,""cmps"",-18.2"
16.296,9055.901,distance_cm,cm,112.1,"9055.901,""cm"",112.1"
16.377,9055.934,velocity_cmps,cmps,-24.3,"9055.934,""cmps"",-24.3"
16.388,9055.993,distance_cm,cm,111.6,"9055.993,""cm"",111.6"
16.469,9056.026,velocity_cmps,cmps,-27.3,"9056.026,""cmps"",-27.3"
16.481,9056.085,distance_cm,cm,111.3,"9056.085,""cm"",111.3"
16.561,9056.118,velocity_cmps,cmps,-21.2,"9056.118,""cmps"",-21.2"
16.572,9056.177,distance_cm,cm,111.3,"9056.177,""cm"",111.3"
16.653,9056.210,velocity_cmps,cmps,-18.2,"9056.210,""cmps"",-18.2"
16.664,9056.269,distance_cm,cm,111.5,"9056.269,""cm"",111.5"
16.746,9056.302,velocity_cmps,cmps,-12.1,"9056.302,""cmps"",-12.1"
16.756,9056.361,distance_cm,cm,59.7,"9056.361,""cm"",59.7"
16.837,9056.394,velocity_cmps,cmps,-12.1,"9056.394,""cmps"",-12.1"
16.848,9056.453,distance_cm,cm,59.7,"9056.453,""cm"",59.7"
16.932,9056.486,velocity_cmps,cmps,-15.2,"9056.486,""cmps"",-15.2"
16.941,9056.545,distance_cm,cm,111.3,"9056.545,""cm"",111.3"
17.021,9056.578,velocity_cmps,cmps,-15.2,"9056.578,""cmps"",-15.2"
17.032,9056.637,distance_cm,cm,111.6,"9056.637,""cm"",111.6"
17.255,9056.812,velocity_cmps,cmps,15.2,"9056.812,""cmps"",15.2"
17.265,9056.871,distance_cm,cm,111.1,"9056.871,""cm"",111.1"
